HostName,IPAddress,Region,EncryptConfigPasswords,FallbackAccountCreated,PasswordRetryLockout,SessionInactivityTimeOut,DisableDHCPServices,DisableHTTPService,DisableHTTPSService,DisableTFTPService,ProhibitTelnetConnections,CdpDisableExternalIfaces,LldpDisableExternalIfaces,IpIcmpRedirectMsgsDisabled,IpIcmpUnreachablesMsgsDisabled,NTPConf,SHHv2,IpDomainName,CLockTimeZone,NtpSRVsCount,SNMPv2Disabled,SNMPv3Enabled,AAA_Authen,AAA_Author,AAA_Account,TwoTacacsSRVs,TacacsSRVsAuthen,TacacsSrcIface,CurrentSwVersion,CurrentUpTime,LastReloadReason,TrunkVlansLimit,IfacesNotShut,Platform
MLQ-INT-SW,10.250.50.90,MLQ,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,17.12.04,"23 weeks, 2 days, 22 hours",PowerOn,PASS,FAIL,C9300-24P
TAH-ACI-CORE-SW,10.250.50.2,MLQ,PASS,PASS,FAIL,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS,PASS,FAIL,17.10.01,"1 year, 6 weeks, 18 hours",CPUReset,FAIL,FAIL,C9606R
THKM-MLQ2-MGMT-SW2,10.250.50.1,MLQ,PASS,PASS,FAIL,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS,PASS,FAIL,17.03.04,"1 year, 36 weeks, 23 hours",PowerOn,PASS,FAIL,C9300-48P
THKM-SDWAN-SW,10.250.50.82,MLQ,PASS,PASS,FAIL,PASS,FAIL,FAIL,FAIL,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS,PASS,FAIL,17.03.04,"1 year, 22 weeks, 1 day, 1 hour",PowerOn,FAIL,FAIL,C9300-48P
THKM-MLQ2-COR-SW,10.175.0.12,MLQ,PASS,PASS,FAIL,PASS,FAIL,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,FAIL,FAIL,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL,16.12.04,"4 years, 8 weeks, 1 hour",Reload Command,FAIL,FAIL,C9500-24Y4C         
THKM-MLQ2-DMZ-SW1,10.175.0.74,MLQ,PASS,PASS,FAIL,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL,16.12.04,"3 years, 51 weeks, 2 days",Reload Command,PASS,FAIL,C9300-24P
THKM-MLQ2-PRE-SW,10.175.0.54,MLQ,PASS,PASS,FAIL,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,FAIL,FAIL,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL,16.12.04,"4 years, 8 weeks, 2 days, 13 hours",PowerOn,FAIL,FAIL,C9300-48P
THKM-MLQ2-MGMT-SW1,10.175.0.11,MLQ,PASS,PASS,FAIL,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL,17.03.06,"1 year, 35 weeks, 6 days, 21 hours",Reload Command,PASS,FAIL,C9300-48P
THKM-MLQ2-WAN-SW1,10.175.0.24,MLQ,PASS,PASS,FAIL,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL,16.12.04,"4 years, 7 weeks, 6 days, 23 hours",PowerOn,FAIL,FAIL,C9300-24P
THKM-MLQ2-2F-COR-SW,10.175.19.45,MLQ,PASS,PASS,FAIL,PASS,FAIL,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS,PASS,FAIL,17.03.04,"2 years, 24 weeks, 1 day, 20 hours",PowerOn,FAIL,FAIL,C9300-48P
THKM-MLQ2-CORE-EXT,10.175.0.13,MLQ,PASS,PASS,FAIL,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,FAIL,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS,FAIL,17.03.05,"29 weeks, 3 days, 2 hours",PowerOn,FAIL,FAIL,C9500-48Y4C
